surname,team_name,position,cost,goal_points,assist_points,clean_points,conceded_points,defcon_points,appearance_points,bonus_points,xPoints
Garnacho,Aston Villa,MID,60,17.2,11.040000000000001,2.212280701754386,-0.0,0.09409536700530376,34.0,3.0,67.5463760687597
Ødegaard,Arsenal,MID,65,6.25,10.95,8.767836257309941,-0.0,1.2804806955915715,35.0,5.0,67.24831695290152
Talbi,Sunderland,MID,55,10.649999999999999,3.54,2.27046783625731,-0.0,0.3030582623523483,44.0,6.0,66.76352609860966
King,Fulham,MID,55,12.350000000000001,1.98,1.5087719298245614,-0.0,2.2135395530263287,45.0,3.0,66.0523114828509
Andrey Santos,Man Utd,MID,50,10.0,2.64,3.281578947368421,-0.0,8.770467318977593,38.0,3.0,65.69204626634601
J.Ramsey,Newcastle,MID,50,6.0,4.35,3.7921052631578953,-0.0,7.289900736707009,41.0,3.0,65.43200599986491
Morato,Nott'm Forest,DEF,50,7.92,0.44999999999999996,9.403508771929825,-3.5263157894736845,14.900103478514565,35.0,1.0,65.14729646097071
Gray,Spurs,MID,50,7.5,3.87,4.301169590643275,-0.0,3.8409039069400985,39.0,6.0,64.51207349758337
Mosquera,Arsenal,DEF,55,0.6000000000000001,1.8900000000000001,25.370760233918126,-0.8649122807017544,8.093631947292076,28.0,1.0,64.08947990050845
Osula,Newcastle,FWD,60,17.12,1.8599999999999999,0.0,-0.0,0.004739412867952184,32.0,13.0,63.98473941286795
Hughes,Crystal Palace,MID,45,5.550000000000001,5.82,3.1929824561403506,-0.0,5.360757272646905,44.0,0.0,63.923739728787254
